STATION,DATE,REPORT_TYPE,SOURCE,AWND,BackupDirection,BackupDistance,BackupDistanceUnit,BackupElements,BackupElevation,BackupElevationUnit,BackupEquipment,BackupLatitude,BackupLongitude,BackupName,CDSD,CLDD,DSNW,DailyAverageDewPointTemperature,DailyAverageDryBulbTemperature,DailyAverageRelativeHumidity,DailyAverageSeaLevelPressure,DailyAverageStationPressure,DailyAverageWetBulbTemperature,DailyAverageWindSpeed,DailyCoolingDegreeDays,DailyDepartureFromNormalAverageTemperature,DailyHeatingDegreeDays,DailyMaximumDryBulbTemperature,DailyMinimumDryBulbTemperature,DailyPeakWindDirection,DailyPeakWindSpeed,DailyPrecipitation,DailySnowDepth,DailySnowfall,DailySustainedWindDirection,DailySustainedWindSpeed,DailyWeather,HDSD,HTDD,HeavyFog,HourlyAltimeterSetting,HourlyDewPointTemperature,HourlyDryBulbTemperature,HourlyPrecipitation,HourlyPresentWeatherType,HourlyPressureChange,HourlyPressureTendency,HourlyRelativeHumidity,HourlySeaLevelPressure,HourlySkyConditions,HourlyStationPressure,HourlyVisibility,HourlyWetBulbTemperature,HourlyWindDirection,HourlyWindGustSpeed,HourlyWindSpeed,MonthlyAverageRH,MonthlyDaysWithGT001Precip,MonthlyDaysWithGT010Precip,MonthlyDaysWithGT32Temp,MonthlyDaysWithGT90Temp,MonthlyDaysWithLT0Temp,MonthlyDaysWithLT32Temp,MonthlyDepartureFromNormalAverageTemperature,MonthlyDepartureFromNormalCoolingDegreeDays,MonthlyDepartureFromNormalHeatingDegreeDays,MonthlyDepartureFromNormalMaximumTemperature,MonthlyDepartureFromNormalMinimumTemperature,MonthlyDepartureFromNormalPrecipitation,MonthlyDewpointTemperature,MonthlyGreatestPrecip,MonthlyGreatestPrecipDate,MonthlyGreatestSnowDepth,MonthlyGreatestSnowDepthDate,MonthlyGreatestSnowfall,MonthlyGreatestSnowfallDate,MonthlyMaxSeaLevelPressureValue,MonthlyMaxSeaLevelPressureValueDate,MonthlyMaxSeaLevelPressureValueTime,MonthlyMaximumTemperature,MonthlyMeanTemperature,MonthlyMinSeaLevelPressureValue,MonthlyMinSeaLevelPressureValueDate,MonthlyMinSeaLevelPressureValueTime,MonthlyMinimumTemperature,MonthlySeaLevelPressure,MonthlyStationPressure,MonthlyTotalLiquidPrecipitation,MonthlyTotalSnowfall,MonthlyWetBulb,NormalsCoolingDegreeDay,NormalsHeatingDegreeDay,REM,ShortDurationEndDate005,ShortDurationEndDate010,ShortDurationEndDate015,ShortDurationEndDate020,ShortDurationEndDate030,ShortDurationEndDate045,ShortDurationEndDate060,ShortDurationEndDate080,ShortDurationEndDate100,ShortDurationEndDate120,ShortDurationEndDate150,ShortDurationEndDate180,ShortDurationPrecipitationValue005,ShortDurationPrecipitationValue010,ShortDurationPrecipitationValue015,ShortDurationPrecipitationValue020,ShortDurationPrecipitationValue030,ShortDurationPrecipitationValue045,ShortDurationPrecipitationValue060,ShortDurationPrecipitationValue080,ShortDurationPrecipitationValue100,ShortDurationPrecipitationValue120,ShortDurationPrecipitationValue150,ShortDurationPrecipitationValue180,Sunrise,Sunset,TStorms,WindEquipmentChangeDate
72208013880,2000-01-01T15:00:00,FM-15,C,,SE,0.25,mi,"TEMP, PRECIP, SNOW",,,"MMTS, SRG, SNOWBOARD",,,WFO CHS,,,,,,,,,,,,,,,,,,,,,,,,,,,30.21,57,69,0,,,,66,30.21,,,9.94,,150,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MET070KCHS 011956Z 15006KT 10SM BKN110 21/14 A3021 RMK AO2 SLP230 T02060139;,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72208013880,2000-01-03T17:00:00,FM-15,C,,SE,0.25,mi,"TEMP, PRECIP, SNOW",,,"MMTS, SRG, SNOWBOARD",,,WFO CHS,,,,,,,,,,,,,,,,,,,,,,,,,,,30.15,58,70,0,,,,66,30.15,,,9.94,,170,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MET069KCHS 032156Z 17009KT 10SM CLR 21/14 A3015 RMK AO2 SLP209 T02110144 $;,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72208013880,2000-01-09T12:00:00,FM-15,C,,SE,0.25,mi,"TEMP, PRECIP, SNOW",,,"MMTS, SRG, SNOWBOARD",,,WFO CHS,,,,,,,,,,,,,,,,,,,,,,,,,,,30.11,55,63,0,,,,75,30.11,,,9.94,,170,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MET070KCHS 091656Z 17006KT 10SM BKN039 17/13 A3011 RMK AO2 SLP195 T01720128;,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72208013880,2000-01-09T12:56:00,FM-15,4,,SE,0.25,mi,"TEMP, PRECIP, SNOW",,,"MMTS, SRG, SNOWBOARD",,,WFO CHS,,,,,,,,,,,,,,,,,,,,,,,,,,,30.07,59,68,,,0.07,8,73,30.07,,,10,,170,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MET099KCHS 091756Z COR 17007KT 10SM FEW028 BKN034 20/15 A3007 RMK AO2 SLP182 T02000150 10200 20078 58025;,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72208013880,2000-01-09T13:00:00,SY-MT,C,,SE,0.25,mi,"TEMP, PRECIP, SNOW",,,"MMTS, SRG, SNOWBOARD",,,WFO CHS,,,,,,,,,,,,,,,,,,,,,,,,,,,30.07,59,68,0,,0.07,8,73,30.07,,30.02,9.94,63,170,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SYN092AAXX  09184 72208 32566 61707 10200 20150 30167 40182 58025 91756 333 10200 20078 555 90918;,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72208013880,2000-01-09T13:27:00,FM-16,4,,SE,0.25,mi,"TEMP, PRECIP, SNOW",,,"MMTS, SRG, SNOWBOARD",,,WFO CHS,,,,,,,,,,,,,,,,,,,,,,,,,,,30.05,61,70,,,,,73,,,,10,,170,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MET060KCHS 091827Z 17010KT 10SM BKN028 OVC034 21/16 A3005 RMK AO2;,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72208013880,2000-01-09T13:48:00,FM-16,4,,SE,0.25,mi,"TEMP, PRECIP, SNOW",,,"MMTS, SRG, SNOWBOARD",,,WFO CHS,,,,,,,,,,,,,,,,,,,,,,,,,,,30.04,61,70,,,,,73,,,,10,,160,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MET053KCHS 091848Z 16011KT 10SM BKN026 21/16 A3004 RMK AO2;,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72208013880,2000-01-09T14:00:00,FM-15,C,,SE,0.25,mi,"TEMP, PRECIP, SNOW",,,"MMTS, SRG, SNOWBOARD",,,WFO CHS,,,,,,,,,,,,,,,,,,,,,,,,,,,30.04,61,70,0,,,,73,30.03,,,9.94,,170,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MET070KCHS 091856Z 17008KT 10SM BKN026 21/16 A3004 RMK AO2 SLP171 T02110161;,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72208013880,2000-01-09T17:00:00,FM-15,C,,SE,0.25,mi,"TEMP, PRECIP, SNOW",,,"MMTS, SRG, SNOWBOARD",,,WFO CHS,,,,,,,,,,,,,,,,,,,,,,,,,,,30.02,63,64,0,,,,96,30.01,,,7.95,,170,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MET069KCHS 092156Z 17010KT 8SM FEW013 18/17 A3002 RMK AO2 SLP164 T01780172;,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72208013880,2000-01-12T14:00:00,FM-15,C,,SE,0.25,mi,"TEMP, PRECIP, SNOW",,,"MMTS, SRG, SNOWBOARD",,,WFO CHS,,,,,,,,,,,,,,,,,,,,,,,,,,,30.22,41,71,0,,,,34,30.22,,,9.94,,150,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MET067KCHS 121856Z 15008KT 10SM CLR 22/05 A3022 RMK AO2 SLP234 T02170050;,,,,,,,,,,,,,,,,,,,,,,,,,,,,
