STATION,DATE,REPORT_TYPE,SOURCE,AWND,BackupDirection,BackupDistance,BackupDistanceUnit,BackupElements,BackupElevation,BackupElevationUnit,BackupEquipment,BackupLatitude,BackupLongitude,BackupName,CDSD,CLDD,DSNW,DailyAverageDewPointTemperature,DailyAverageDryBulbTemperature,DailyAverageRelativeHumidity,DailyAverageSeaLevelPressure,DailyAverageStationPressure,DailyAverageWetBulbTemperature,DailyAverageWindSpeed,DailyCoolingDegreeDays,DailyDepartureFromNormalAverageTemperature,DailyHeatingDegreeDays,DailyMaximumDryBulbTemperature,DailyMinimumDryBulbTemperature,DailyPeakWindDirection,DailyPeakWindSpeed,DailyPrecipitation,DailySnowDepth,DailySnowfall,DailySustainedWindDirection,DailySustainedWindSpeed,DailyWeather,HDSD,HTDD,HeavyFog,HourlyAltimeterSetting,HourlyDewPointTemperature,HourlyDryBulbTemperature,HourlyPrecipitation,HourlyPresentWeatherType,HourlyPressureChange,HourlyPressureTendency,HourlyRelativeHumidity,HourlySeaLevelPressure,HourlySkyConditions,HourlyStationPressure,HourlyVisibility,HourlyWetBulbTemperature,HourlyWindDirection,HourlyWindGustSpeed,HourlyWindSpeed,MonthlyAverageRH,MonthlyDaysWithGT001Precip,MonthlyDaysWithGT010Precip,MonthlyDaysWithGT32Temp,MonthlyDaysWithGT90Temp,MonthlyDaysWithLT0Temp,MonthlyDaysWithLT32Temp,MonthlyDepartureFromNormalAverageTemperature,MonthlyDepartureFromNormalCoolingDegreeDays,MonthlyDepartureFromNormalHeatingDegreeDays,MonthlyDepartureFromNormalMaximumTemperature,MonthlyDepartureFromNormalMinimumTemperature,MonthlyDepartureFromNormalPrecipitation,MonthlyDewpointTemperature,MonthlyGreatestPrecip,MonthlyGreatestPrecipDate,MonthlyGreatestSnowDepth,MonthlyGreatestSnowDepthDate,MonthlyGreatestSnowfall,MonthlyGreatestSnowfallDate,MonthlyMaxSeaLevelPressureValue,MonthlyMaxSeaLevelPressureValueDate,MonthlyMaxSeaLevelPressureValueTime,MonthlyMaximumTemperature,MonthlyMeanTemperature,MonthlyMinSeaLevelPressureValue,MonthlyMinSeaLevelPressureValueDate,MonthlyMinSeaLevelPressureValueTime,MonthlyMinimumTemperature,MonthlySeaLevelPressure,MonthlyStationPressure,MonthlyTotalLiquidPrecipitation,MonthlyTotalSnowfall,MonthlyWetBulb,NormalsCoolingDegreeDay,NormalsHeatingDegreeDay,REM,ShortDurationEndDate005,ShortDurationEndDate010,ShortDurationEndDate015,ShortDurationEndDate020,ShortDurationEndDate030,ShortDurationEndDate045,ShortDurationEndDate060,ShortDurationEndDate080,ShortDurationEndDate100,ShortDurationEndDate120,ShortDurationEndDate150,ShortDurationEndDate180,ShortDurationPrecipitationValue005,ShortDurationPrecipitationValue010,ShortDurationPrecipitationValue015,ShortDurationPrecipitationValue020,ShortDurationPrecipitationValue030,ShortDurationPrecipitationValue045,ShortDurationPrecipitationValue060,ShortDurationPrecipitationValue080,ShortDurationPrecipitationValue100,ShortDurationPrecipitationValue120,ShortDurationPrecipitationValue150,ShortDurationPrecipitationValue180,Sunrise,Sunset,TStorms,WindEquipmentChangeDate
72208013880,2010-01-24T17:47:00,FM-16,7,,SE,0.25,mi,"TEMP, PRECIP, SNOW",,,"MMTS, SRG, SNOWBOARD",,,WFO CHS,,,,,,,,,,,,,,,,,,,,,,,,,,,29.75,63,68,,,,,83,,BKN:07 26 BKN:07 31 OVC:08 60,29.70,7.00,65,170,,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MET09501/24/10 17:47:02 SPECI KCHS 242247Z 17015KT 7SM BKN026 BKN031 OVC060 20/17 A2975 RMK AO2 (WRB),,,,,,,,,,,,,,,,,,,,,,,,,,,,
72208013880,2010-02-04T12:56:00,FM-15,7,,SE,0.25,mi,"TEMP, PRECIP, SNOW",,,"MMTS, SRG, SNOWBOARD",,,WFO CHS,,,,,,,,,,,,,,,,,,,,,,,,,,,30.31,41,53,0.00,,+0.01,5,64,30.31,FEW:02 25 SCT:04 95,30.26,9.00,47,170,18,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MET12502/04/10 12:56:02 METAR KCHS 041756Z 17008G16KT 9SM FEW025 SCT095 12/05 A3031 RMK AO2 SLP264 T01170050 10117 20033 55005 (WD),,,,,,,,,,,,,,,,,,,,,,,,,,,,
72208013880,2010-02-04T13:00:00,FM-12,4,,SE,0.25,mi,"TEMP, PRECIP, SNOW",,,"MMTS, SRG, SNOWBOARD",,,WFO CHS,,,,,,,,,,,,,,,,,,,,,,,,,,,,41,53,,,+0.01,5,64,30.31,,30.26,8.70,47,170,18,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SYN098AAXX  04184 72208 32564 41708 10117 20050 30248 40264 55005 91756 333 10117 20033 91016 555 90418;,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72208013880,2010-02-05T14:20:00,FM-16,7,,SE,0.25,mi,"TEMP, PRECIP, SNOW",,,"MMTS, SRG, SNOWBOARD",,,WFO CHS,,,,,,,,,,,,,,,,,,,,,,,,,,,29.71,63,63,0.04,RA:02 BR:1 |RA |RA,,,100,,BKN:07 10 OVC:08 15,29.66,2.00,63,160,26,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MET13202/05/10 14:20:02 SPECI KCHS 051920Z 16015G23KT 2SM RA BR BKN010 OVC015 17/17 A2971 RMK AO2 PK WND 15027/1909 CIG 007V013 P0004 (WD),,,,,,,,,,,,,,,,,,,,,,,,,,,,
72208013880,2010-02-08T13:56:00,FM-15,7,,SE,0.25,mi,"TEMP, PRECIP, SNOW",,,"MMTS, SRG, SNOWBOARD",,,WFO CHS,,,,,,,,,,,,,,,,,,,,,,,,,,,30.10,33,54,0.00,,,,45,30.10,,30.05,10.00,45,150,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MET09502/08/10 13:56:02 METAR KCHS 081856Z 15006KT 10SM CLR 12/01 A3010 RMK AO2 SLP193 T01220006 (WD),,,,,,,,,,,,,,,,,,,,,,,,,,,,
72208013880,2010-02-19T15:56:00,FM-15,7,,SE,0.25,mi,"TEMP, PRECIP, SNOW",,,"MMTS, SRG, SNOWBOARD",,,WFO CHS,,,,,,,,,,,,,,,,,,,,,,,,,,,30.09,34,58,0.00,,+0.02,5,41,30.08,,30.04,10.00,47,160,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MET10102/19/10 15:56:02 METAR KCHS 192056Z 16009KT 10SM CLR 14/01 A3009 RMK AO2 SLP187 T01440011 55008 (WD),,,,,,,,,,,,,,,,,,,,,,,,,,,,
72208013880,2010-02-19T16:00:00,FM-12,4,,SE,0.25,mi,"TEMP, PRECIP, SNOW",,,"MMTS, SRG, SNOWBOARD",,,WFO CHS,,,,,,,,,,,,,,,,,,,,,,,,,,,,34,58,,,+0.02,5,41,30.08,CLR:00,30.04,9.94,47,160,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SYN076AAXX  19214 72208 32966 01609 10144 20011 30173 40187 55008 92056 555 91921;,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72208013880,2010-02-19T17:56:00,FM-15,7,,SE,0.25,mi,"TEMP, PRECIP, SNOW",,,"MMTS, SRG, SNOWBOARD",,,WFO CHS,,,,,,,,,,,,,,,,,,,,,,,,,,,30.09,37,52,0.00,,,,57,30.09,,30.04,10.00,45,150,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MET09502/19/10 17:56:02 METAR KCHS 192256Z 15006KT 10SM CLR 11/03 A3009 RMK AO2 SLP189 T01110028 (WD),,,,,,,,,,,,,,,,,,,,,,,,,,,,
72208013880,2010-02-20T13:56:00,FM-15,7,,SE,0.25,mi,"TEMP, PRECIP, SNOW",,,"MMTS, SRG, SNOWBOARD",,,WFO CHS,,,,,,,,,,,,,,,,,,,,,,,,,,,30.15,35,63,0.00,,,,35,30.14,FEW:02 50,30.10,10.00,50,170,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MET09902/20/10 13:56:02 METAR KCHS 201856Z 17009KT 10SM FEW050 17/02 A3015 RMK AO2 SLP207 T01720017 (JRS),,,,,,,,,,,,,,,,,,,,,,,,,,,,
72208013880,2010-02-20T14:56:00,FM-15,7,,SE,0.25,mi,"TEMP, PRECIP, SNOW",,,"MMTS, SRG, SNOWBOARD",,,WFO CHS,,,,,,,,,,,,,,,,,,,,,,,,,,,30.13,35,63,0.00,,,,35,30.13,FEW:02 55,30.08,10.00,50,150,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MET09902/20/10 14:56:02 METAR KCHS 201956Z 15009KT 10SM FEW055 17/02 A3013 RMK AO2 SLP202 T01720017 (JRS),,,,,,,,,,,,,,,,,,,,,,,,,,,,
