72208013880,2000-01-23T10:00:00,SY-MT,C,,SE,0.25,mi,"TEMP, PRECIP, SNOW",,,"MMTS, SRG, SNOWBOARD",,,WFO CHS,,,,,,,,,,,,,,,,,,,,,,,,,,,30.04,49,49,0.01,||FG RA,0.02,8,100,30.03,,29.99,5.97,49,110,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SYN088AAXX  23154 72208 1/859 81103 10094 20094 30157 40170 58007 69937 761// 91456 555 92315;,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72208013880,2000-02-03T10:00:00,FM-15,C,,SE,0.25,mi,"TEMP, PRECIP, SNOW",,,"MMTS, SRG, SNOWBOARD",,,WFO CHS,,,,,,,,,,,,,,,,,,,,,,,,,,,30.18,30,44,0,,0,8,58,30.18,,,6.96,,250,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MET075KCHS 031456Z 25005KT 7SM CLR 07/M01 A3018 RMK AO2 SLP219 T00671011 58001 $;,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72208013880,2000-02-04T10:00:00,SY-MT,C,,SE,0.25,mi,"TEMP, PRECIP, SNOW",,,"MMTS, SRG, SNOWBOARD",,,WFO CHS,,,,,,,,,,,,,,,,,,,,,,,,,,,29.96,32,51,0,,-0.01,0,48,29.96,,29.91,9.94,43,280,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SYN076AAXX  04154 72208 35966 02808 10106 20000 30129 40145 50004 91456 555 90415;MET073KCHS 041456Z 28008KT 10SM CLR 11/00 A2996 RMK AO2 SLP145 T01060000 50004;,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72208013880,2000-02-07T09:56:00,FM-15,4,,SE,0.25,mi,"TEMP, PRECIP, SNOW",,,"MMTS, SRG, SNOWBOARD",,,WFO CHS,,,,,,,,,,,,,,,,,,,,,,,,,,,30.34,34,48,,,0.01,7,58,30.34,,,10,,240,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MET073KCHS 071456Z 24005KT 10SM CLR 09/01 A3034 RMK AO2 SLP274 T00890006 56000;,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72208013880,2000-02-07T10:00:00,SY-MT,C,,SE,0.25,mi,"TEMP, PRECIP, SNOW",,,"MMTS, SRG, SNOWBOARD",,,WFO CHS,,,,,,,,,,,,,,,,,,,,,,,,,,,30.34,33,48,0,,0.01,7,56,30.34,CLR:00,30.29,9.94,42,240,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SYN076AAXX  07154 72208 35966 02405 10089 20006 30258 40274 56000 91456 555 90715;,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72208013880,2000-02-10T09:56:00,FM-15,4,,SE,0.25,mi,"TEMP, PRECIP, SNOW",,,"MMTS, SRG, SNOWBOARD",,,WFO CHS,,,,,,,,,,,,,,,,,,,,,,,,,,,30.08,36,57,,,-0.03,0,44,30.08,,,7,,300,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MET074KCHS 101456Z 30006KT 7SM CLR 14/02 A3008 RMK AO2 SLP186 T01440022 50009 $;,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72208013880,2000-02-10T10:00:00,SY-MT,C,,SE,0.25,mi,"TEMP, PRECIP, SNOW",,,"MMTS, SRG, SNOWBOARD",,,WFO CHS,,,,,,,,,,,,,,,,,,,,,,,,,,,30.08,36,58,0,,-0.03,0,44,30.08,CLR:00,30.03,6.96,48,300,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SYN076AAXX  10154 72208 35961 03006 10144 20022 30170 40186 50009 91456 555 91015;,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72208013880,2000-02-12T09:56:00,FM-15,4,,SE,0.25,mi,"TEMP, PRECIP, SNOW",,,"MMTS, SRG, SNOWBOARD",,,WFO CHS,,,,,,,,,,,,,,,,,,,,,,,,,,,30.06,57,64,,,-0.02,0,78,30.06,,,8,,230,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MET082KCHS 121456Z 23009KT 8SM FEW042 SCT050 18/14 A3006 RMK AO2 SLP179 T01780144 50006;,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72208013880,2000-02-12T10:00:00,SY-MT,C,,SE,0.25,mi,"TEMP, PRECIP, SNOW",,,"MMTS, SRG, SNOWBOARD",,,WFO CHS,,,,,,,,,,,,,,,,,,,,,,,,,,,30.06,58,64,0,,-0.02,0,81,30.06,,30.01,7.95,61,230,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SYN076AAXX  12154 72208 35662 42309 10178 20144 30163 40179 50006 91456 555 91215;,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72208013880,2000-02-14T09:56:00,FM-15,4,,SE,0.25,mi,"TEMP, PRECIP, SNOW",,,"MMTS, SRG, SNOWBOARD",,,WFO CHS,,,,,,,,,,,,,,,,,,,,,,,,,,,29.88,63,63,0.08,,0.02,6,100,29.88,,,4,,190,32,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MET145KCHS 141456Z 19016G28KT 4SM BR SCT010 OVC015 17/17 A2988 RMK AO2 PK WND 19028/1448 TSE05RAE55 PRESFR SLP118 TS MOV E P0008 60037 T01720167 56006;,,,,,,,,,,,,,,,,,,,,,,,,,,,,
